DATE,NAEXKP07ZAQ661S
1960-01-01,11.3959897047508
1960-04-01,12.6384930737457
1960-07-01,12.4143211814815
1960-10-01,11.3080016307681
1961-01-01,11.6698967372159
1961-04-01,11.4747941223597
1961-07-01,10.0915098349925
1961-10-01,10.1106468456909
1962-01-01,10.3432326963779
1962-04-01,10.1726128026467
1962-07-01,11.1060244533911
1962-10-01,12.2727811089659
1963-01-01,12.575757418839
1963-04-01,13.1755840864002
1963-07-01,13.1289171941957
1963-10-01,13.5956177476641
1964-01-01,15.2543273757832
1964-04-01,15.8679347998088
1964-07-01,16.0133022744642
1964-10-01,17.7255639011163
1965-01-01,17.5503574511019
1965-04-01,19.7369849793094
1965-07-01,17.8701722216282
1965-10-01,16.050785510295
1966-01-01,15.0554079025949
1966-04-01,14.4502249807995
1966-07-01,16.3109223301032
1966-10-01,17.728621605305
1967-01-01,19.0637101483732
1967-04-01,19.8035480363558
1967-07-01,18.2863784807523
1967-10-01,16.808990711025
1968-01-01,18.0147699983326
1968-04-01,17.4837943940555
1968-07-01,18.3521718398478
1968-10-01,19.2641584736559
1969-01-01,17.7928966561136
1969-04-01,20.3911333433546
1969-07-01,22.1386007434073
1969-10-01,22.3956693152192
1970-01-01,21.5777861637712
1970-04-01,23.2525645545925
1970-07-01,24.2119877785562
1970-10-01,26.1315933806269
1971-01-01,28.25547471012
1971-04-01,25.5325258672091
1971-07-01,26.6197189510315
1971-10-01,24.3665283657777
1972-01-01,22.9396454342022
1972-04-01,23.7192651080609
1972-07-01,21.4163499264137
1972-10-01,23.5455980539485
1973-01-01,23.0360474666076
1973-04-01,24.3848956785252
1973-07-01,26.7620287214981
1973-10-01,27.7329236080733
1974-01-01,25.8859964714265
1974-04-01,30.0863330840648
1974-07-01,33.3058214558032
1974-10-01,32.0128237924639
1975-01-01,29.3090014164438
1975-04-01,29.0152087629444
1975-07-01,29.7397475861758
1975-10-01,29.2393806552087
1976-01-01,27.4414189608117
1976-04-01,27.0420511623407
1976-07-01,25.3565602630513
1976-10-01,25.729916488303
1977-01-01,22.6060604510191
1977-04-01,21.472970172943
1977-07-01,22.8394159996571
1977-10-01,24.2127469326996
1978-01-01,20.8677872511477
1978-04-01,23.8072531820435
1978-07-01,22.4431059053748
1978-10-01,24.0956895813089
1979-01-01,20.5250291553984
1979-04-01,22.338279370739
1979-07-01,23.8080228799945
1979-10-01,23.6672419616223
1980-01-01,22.5655195109995
1980-04-01,26.5990636320463
1980-07-01,28.9042668199312
1980-10-01,29.5025751792057
1981-01-01,28.6288414791793
1981-04-01,31.414525976997
1981-07-01,31.1918829368272
1981-10-01,31.1115496671239
1982-01-01,28.0152445989612
1982-04-01,27.0221549974988
1982-07-01,23.1171398904543
1982-10-01,22.9442319904853
1983-01-01,19.8662836912625
1983-04-01,20.0698002645415
1983-07-01,20.5663397933689
1983-10-01,24.3275162778525
1984-01-01,25.6319856038032
1984-04-01,25.3404915003492
1984-07-01,25.6801918919097
1984-10-01,24.9724809855239
1985-01-01,22.9931974327352
1985-04-01,22.1500724060188
1985-07-01,21.2442117243957
1985-10-01,20.9733623961193
1986-01-01,20.2832596483376
1986-04-01,21.0276840926033
1986-07-01,25.3427900503945
1986-10-01,18.5648720695005
1987-01-01,21.8050157602242
1987-04-01,21.2388554701616
1987-07-01,21.4194076306024
1987-10-01,23.7330353207177
1988-01-01,26.0538749751954
1988-04-01,27.3491501009648
1988-07-01,26.926322330701
1988-10-01,27.1898858879621
1989-01-01,26.9916201308417
1989-04-01,28.4480362673573
1989-07-01,26.2328771959268
1989-10-01,26.1887091861109
1990-01-01,24.9465326751499
1990-04-01,25.3059394430165
1990-07-01,26.8755749849756
1990-10-01,24.4377201543374
1991-01-01,25.6193014033238
1991-04-01,26.6204675613674
1991-07-01,26.4184482087601
1991-10-01,25.0837181551485
1992-01-01,26.7163107719728
1992-04-01,26.5288524175885
1992-07-01,28.1891752482623
1992-10-01,27.8551368813547
1993-01-01,28.4161939777202
1993-04-01,27.9183153783831
1993-07-01,29.4141653556121
1993-10-01,31.2099866638778
1994-01-01,32.3086514031988
1994-04-01,31.8912220639187
1994-07-01,35.1110900166656
1994-10-01,36.4696596193361
1995-01-01,38.9416552964523
1995-04-01,38.7899299114516
1995-07-01,40.2341152313371
1995-10-01,40.6135868639768
1996-01-01,41.358401427903
1996-04-01,42.7551396125389
1996-07-01,45.0795219851873
1996-10-01,43.1994556610141
1997-01-01,43.3754318097488
1997-04-01,43.8888098039499
1997-07-01,47.0026070471914
1997-10-01,47.409281705912
1998-01-01,46.0604124071758
1998-04-01,46.0442803785401
1998-07-01,46.8301103530145
1998-10-01,46.3996066890066
1999-01-01,42.0697921241685
1999-04-01,41.8986661235026
1999-07-01,42.2230990858018
1999-10-01,43.6455641614469
2000-01-01,45.0725630760716
2000-04-01,43.6732943719422
2000-07-01,44.4933917231741
2000-10-01,45.6630162939428
2001-01-01,44.9851549068989
2001-04-01,45.8179048322088
2001-07-01,43.7416182501322
2001-10-01,44.8046449269812
2002-01-01,46.3558498914364
2002-04-01,47.168777450431
2002-07-01,46.996807948465
2002-10-01,48.4079911513398
2003-01-01,48.346520756298
2003-04-01,49.982814253554
2003-07-01,52.0329521861747
2003-10-01,53.8417423776076
2004-01-01,54.6644756743007
2004-04-01,58.9043515660658
2004-07-01,59.8557193256014
2004-10-01,62.44717634604
2005-01-01,62.2317663555932
2005-04-01,64.7851602278306
2005-07-01,67.3775661911302
2005-10-01,67.138327195396
2006-01-01,71.4980861811336
2006-04-01,76.5500461305932
