DATE,HDTGPDZAQ163N
2008-01-01,45.3446562703537
2008-04-01,46.2703421731477
2008-07-01,47.2447677332671
2008-10-01,47.3003804901994
2009-01-01,44.5251301879696
2009-04-01,44.7168181276481
2009-07-01,44.7936944323461
2009-10-01,45.2204418463913
2010-01-01,41.950358242356
2010-04-01,42.5295840801829
2010-07-01,43.7136083659809
2010-10-01,44.3182857253193
2011-01-01,41.7232007843592
2011-04-01,42.0272301533462
2011-07-01,42.8194311652345
2011-10-01,44.0756592858472
2012-01-01,41.5616429521771
2012-04-01,43.0150278222906
2012-07-01,43.786265363947
2012-10-01,45.0468836090327
2013-01-01,41.9180919555264
2013-04-01,42.9361756135439
2013-07-01,43.2091481456877
2013-10-01,43.6876352384086
2014-01-01,41.707512543322
2014-04-01,42.1723599152659
2014-07-01,42.6942385506279
2014-10-01,43.2072804365301
2015-01-01,40.7539280848481
2015-04-01,41.4082360336709
2015-07-01,41.8278010302677
2015-10-01,42.2878203073521
2016-01-01,39.5339858453154
2016-04-01,40.1212613364064
2016-07-01,40.2463612669672
2016-10-01,40.5111402221426
2017-01-01,38.5276567974698
2017-04-01,38.9359124144799
2017-07-01,39.3896172869433
2017-10-01,39.9903036337152
2018-01-01,38.3119181432185
2018-04-01,38.8378232250996
2018-07-01,39.4840931643922
2018-10-01,40.4966647577595
2019-01-01,38.7866647974184
2019-04-01,39.3812137329178
2019-07-01,39.7397203662848
2019-10-01,40.5059725170633
2020-01-01,41.3779728000207
2020-04-01,40.7799565982282
2020-07-01,41.5760030761667
2020-10-01,42.6873107313481
2021-01-01,38.7052105152413
2021-04-01,40.9231294637139
2021-07-01,41.4982862954282
2021-10-01,41.8056037235739
2022-01-01,39.6635969741632
2022-04-01,40.3505276541172
