DATE,NAEXKP03ZAQ661S
1960-01-01,10.4511945640734
1960-04-01,11.3035582067495
1960-07-01,10.9020825779528
1960-10-01,11.1575382739091
1961-01-01,11.1898463718477
1961-04-01,11.3765681731698
1961-07-01,12.0249473543508
1961-10-01,12.0228885049723
1962-01-01,12.8622655592614
1962-04-01,13.0812954585221
1962-07-01,12.9267233821096
1962-10-01,14.8116791745904
1963-01-01,14.0152212111905
1963-04-01,13.5836547068626
1963-07-01,14.3951581080281
1963-10-01,14.0666924456516
1964-01-01,15.2989929851654
1964-04-01,15.1594663465185
1964-07-01,14.7708189330798
1964-10-01,15.2109375809796
1965-01-01,15.0327679232296
1965-04-01,16.8920672849944
1965-07-01,16.6130140077006
1965-10-01,17.1497402033582
1966-01-01,17.2290850909429
1966-04-01,18.2681705349411
1966-07-01,16.5743709885974
1966-10-01,16.8877912132084
1967-01-01,17.5081383682367
1967-04-01,17.5919177006365
1967-07-01,18.5258434533049
1967-10-01,18.064186073446
1968-01-01,18.6568179483798
1968-04-01,18.6439897330218
1968-07-01,19.3330707826844
1968-10-01,20.0029886958245
1969-01-01,20.2885352673119
1969-04-01,20.2669965353528
1969-07-01,19.3159664955404
1969-10-01,21.4972382254882
1970-01-01,20.7028391114667
1970-04-01,22.3473846457568
1970-07-01,22.2936961888881
1970-10-01,22.4911873561897
1971-01-01,23.1094756618396
1971-04-01,23.3028491303843
1971-07-01,23.860955684972
1971-10-01,24.5427515752954
1972-01-01,23.0988646688892
1972-04-01,24.0649401464671
1972-07-01,23.848127469614
1972-10-01,23.3757007237754
1973-01-01,23.4444346184097
1973-04-01,24.2689246079623
1973-07-01,25.4841208603321
1973-10-01,25.3466530710636
1974-01-01,26.4737939192476
1974-04-01,25.6836708770121
1974-07-01,27.4420866192331
1974-10-01,26.5704014670054
1975-01-01,27.6288084205551
1975-04-01,30.6431222836275
1975-07-01,30.149315178859
1975-10-01,30.5959271209524
1976-01-01,31.4159826656899
1976-04-01,32.1052220883816
1976-07-01,31.6907598711977
1976-10-01,30.3490235685681
1977-01-01,32.4595025545032
1977-04-01,32.0149494617882
1977-07-01,32.1867841983738
1977-10-01,33.708907381161
1978-01-01,32.8715891762504
1978-04-01,31.8904682609069
1978-07-01,32.7664294849206
1978-10-01,33.717459524733
1979-01-01,32.6999128126939
1979-04-01,33.9387066464013
1979-07-01,34.814667870415
1979-10-01,36.0963807950114
1980-01-01,36.6394419118336
1980-04-01,37.421012810497
1980-07-01,38.0393011161469
1980-10-01,37.9878298816858
1981-01-01,37.0173199592927
1981-04-01,40.1174720041433
1981-07-01,38.1123110825672
1981-10-01,37.6829618006469
1982-01-01,42.1549410236582
1982-04-01,40.5276581495412
1982-07-01,39.8963832555042
1982-10-01,40.0208644563855
1983-01-01,39.4627579017979
1983-04-01,41.3454964718711
1983-07-01,41.9017025501095
1983-10-01,42.8354699297488
1984-01-01,42.0819310572379
1984-04-01,44.3813490669026
1984-07-01,46.3028890291081
1984-10-01,44.0463901103326
1985-01-01,45.2550930685088
1985-04-01,44.014240385423
1985-07-01,49.001565445162
1985-10-01,44.6217593250933
1986-01-01,46.5754490122084
1986-04-01,48.2458093502436
1986-07-01,45.9164588380769
1986-10-01,46.3458081199972
1987-01-01,49.2012738348711
1987-04-01,49.5596719997496
1987-07-01,46.4961041246237
1987-10-01,48.8254546367904
1988-01-01,49.1903460958624
1988-04-01,48.5262879847994
1988-07-01,49.2391249888287
1988-10-01,50.3431433747624
1989-01-01,52.0603821294146
1989-04-01,50.3580304394989
1989-07-01,50.9405264405697
1989-10-01,51.864316319375
1990-01-01,53.6314425781971
1990-04-01,51.2072266215928
1990-07-01,52.1809040045681
1990-10-01,52.8468625919805
1991-01-01,53.3884983515406
1991-04-01,54.2237577070728
1991-07-01,52.9613662920278
1991-10-01,54.0356105484887
1992-01-01,54.6095544059875
1992-04-01,54.9929755094656
1992-07-01,54.4374029233437
1992-10-01,54.5734453553501
1993-01-01,58.8483686989383
1993-04-01,59.2669863077327
1993-07-01,59.604451311163
1993-10-01,59.9223632542798
1994-01-01,60.1938364914936
1994-04-01,60.1943770789758
1994-07-01,59.9246652340319
1994-10-01,59.2514631149559
1995-01-01,57.7631463997849
1995-04-01,56.4969311794313
1995-07-01,55.5125415818096
1995-10-01,55.3965304905944
1996-01-01,56.7829312084305
1996-04-01,57.9382319512182
1996-07-01,58.934920471079
1996-10-01,60.0811628735595
1997-01-01,59.7627775783126
1997-04-01,59.7869397095898
1997-07-01,59.6467293009316
1997-10-01,59.5340918206589
1998-01-01,58.7685391990411
1998-04-01,58.6429032414646
1998-07-01,58.2085183289781
1998-10-01,57.8096292620259
1999-01-01,57.9762943094282
1999-04-01,58.3229020577793
1999-07-01,58.7800317855622
1999-10-01,59.3645392037318
2000-01-01,59.7228308668485
2000-04-01,60.0991158921505
2000-07-01,60.5325090861716
2000-10-01,60.9550878973716
2001-01-01,61.3952423370255
2001-04-01,61.9007470011095
2001-07-01,62.4861929142255
2001-10-01,63.062222613379
2002-01-01,63.8063452086201
2002-04-01,64.602101146671
2002-07-01,65.4743559504469
2002-10-01,66.3374051347755
2003-01-01,67.2443215081054
2003-04-01,68.1686903701824
2003-07-01,69.171356557272
2003-10-01,70.3475363015682
2004-01-01,71.429638811276
2004-04-01,72.2490317347338
2004-07-01,72.7439134872194
2004-10-01,72.9085968968292
2005-01-01,72.5269241191521
2005-04-01,72.6651178127758
2005-07-01,73.0496697004526
2005-10-01,74.211437261656
2006-01-01,75.4048288033387
2006-04-01,75.4539392298139
