"","","Ind Code","Ind Name","Region","Country","City","Frequency","Period","Actual","Previous","Consensus","Revision","Date","Time","Revise Date"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Jan 2021","19772.00 GWH","19839.00 GWH","-","F","Mar 04, 2021","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Dec 2020","19839.00 GWH","20150.00 GWH","-","F","Feb 04, 2021","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Nov 2020","20150.00 GWH","20977.00 GWH","-","F","Jan 14, 2021","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Oct 2020","20977.00 GWH","20143.00 GWH","-","F","Dec 03, 2020","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Sep 2020","20143.00 GWH","20977.00 GWH","-","F","Nov 05, 2020","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Aug 2020 (R)","20977.00 GWH","21542.00 GWH","-","F","Oct 01, 2020","11:00","Nov 05, 2020"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Jul 2020","21542.00 GWH","20682.00 GWH","-","F","Sep 03, 2020","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Jun 2020 (R)","20682.00 GWH","19177.00 GWH","-","F","Aug 06, 2020","11:00","Sep 03, 2020"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 May 2020","19177.00 GWH","16014.00 GWH","-","F","Jul 02, 2020","11:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Apr 2020 (R)","16014.00 GWH","20110.00 GWH","-","F","Jun 04, 2020","11:00","Jul 02, 2020"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Mar 2020 (R)","20110.00 GWH","19414.00 GWH","-","F","Apr 20, 2020","11:00","Jun 04, 2020"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","29 Feb 2020","19414.00 GWH","20434.00 GWH","-","F","Mar 26, 2020","11:30","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Jan 2020 (R)","20434.00 GWH","19640.00 GWH","-","F","Mar 05, 2020","11:00","Jul 06, 2020"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Dec 2019","19640.00 GWH","20662.00 GWH","-","F","Feb 06, 2020","00:00","-"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","30 Nov 2019 (R)","20662.00 GWH","21571.00 GWH","-","F","Jan 07, 2020","00:00","Sep 03, 2020"
"","","SAFZAXX02Ma072","Total Power Generation","Southern Africa","South Africa","","Monthly","31 Oct 2019","21571.00 GWH","20781.00 GWH","-","F","Dec 05, 2019","00:00","-"
